name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialLost,duelLost,duelWon,shotOffTarget,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalCross,aerialWon,outfielderBlock,interceptionWon,wasFouled,sofascoreId,goalAssist,accurateCross,dispossessed,totalContest,bigChanceCreated,keyPass,wonContest,onTargetScoringAttempt,goals,totalOffside,challengeLost,bigChanceMissed,blockedScoringAttempt,errorLeadToAShot,punches,clearanceOffLine
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",32.0,21.0,16.0,5.0,20.0,24.0,1.0,8.0,7.0,1.0,1.0,2.0,90.0,39.0,6.3,11.0,0.0,0.0,0.00013838,"{'original': 6.3, 'alternative': 6.2}",0,-1.2681,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,joel-ward,J. Ward,D,,188,256,M,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",35.0,23.0,10.0,2.0,14.0,18.0,9.0,17.0,5.0,,,,90.0,54.0,6.5,13.0,0.0138,0.0,0.0150332,"{'original': 6.5, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,2.0,3.0,1.0,7.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",61.0,47.0,12.0,5.0,25.0,29.0,22.0,34.0,3.0,,,,90.0,77.0,7.0,16.0,0.0,0.0,0.0107458,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,4.0,,7.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",54.0,48.0,8.0,4.0,26.0,26.0,22.0,28.0,2.0,,,,90.0,59.0,6.8,6.0,0.0,0.0,0.0138721,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,3.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,,,MarcGuehi13,,,,,,,,,,,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",38.0,32.0,1.0,,14.0,17.0,19.0,22.0,10.0,,,,90.0,54.0,6.7,12.0,0.0,0.0,0.228816,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,1.0,,2.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
Eberechi Eze,eberechi-eze,E. Eze,F,10,178,55112,M,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",30.0,27.0,,,8.0,8.0,21.0,30.0,5.0,,,,90.0,60.0,8.2,17.0,0.6284,1.4401,0.129054,"{'original': 8.2, 'alternative': 8.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,6.0,9.0,,,4.0,1.0,3.0,,8.0,1.0,,,1.0,eze,,2.0,3.0,5.0,,4.0,3.0,3.0,1.0,1.0,,,,,,
Cheick Doucouré,cheick-doucoure,C. Doucouré,M,28,181,1459,M,906047,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,947289600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخ دوكوري', 'hi': 'चेक डौकोरे', 'bn': 'ডউকোরে'}, 'shortNameTranslation': {'ar': 'ش. دوكوري', 'hi': 'सी. डौकोरे', 'bn': 'সি. ডউকোরে'}}",35.0,31.0,1.0,1.0,16.0,17.0,15.0,18.0,9.0,,,,90.0,52.0,7.2,6.0,0.0,0.0,0.024768,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,5.0,7.0,,1.0,6.0,5.0,,1.0,,,,4.0,,,,,1.0,2.0,,,1.0,,,,2.0,,,,,
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,179,5382,M,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",37.0,30.0,6.0,2.0,14.0,14.0,16.0,24.0,5.0,,,,90.0,50.0,7.0,9.0,0.0814,0.1084,0.163393,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,6.0,3.0,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,jeffersonlerma,,,1.0,,1.0,2.0,,1.0,,,5.0,,,,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",32.0,23.0,1.0,,12.0,16.0,12.0,21.0,12.0,,,,90.0,60.0,6.7,21.0,0.4734,0.2005,0.0608774,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,14.0,14.0,,,6.0,1.0,2.0,3.0,5.0,3.0,,1.0,5.0,jordanayew9,,1.0,3.0,3.0,,1.0,,2.0,,,2.0,1.0,,,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,187,5777,M,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",14.0,11.0,,,3.0,4.0,8.0,10.0,3.0,,,,89.0,32.0,8.6,11.0,0.7643,1.5525,0.0290623,"{'original': 8.6, 'alternative': 8.4}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,11.0,2.0,3.0,,,,3.0,2.0,,1.0,,1.0,,,,,2.0,3.0,,,1.0,3.0,2.0,,,,1.0,,,
