name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,shotOffTarget,totalClearance,totalTackle,wonTackle,expectedGoals,keyPass,aerialWon,outfielderBlock,unsuccessfulTouch,wasFouled,fouls,onTargetScoringAttempt,goals,interceptionWon,expectedGoalsOnTarget,challengeLost,bigChanceCreated,totalOffside,totalContest,wonContest,dispossessed,bigChanceMissed,blockedScoringAttempt,errorLeadToAShot,goodHighClaim,punches
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",22.0,15.0,9.0,3.0,13.0,14.0,2.0,8.0,9.0,1.0,4.0,1.0,1.0,90.0,29.0,7.6,7.0,0.0001828,"{'original': 7.6, 'alternative': 7.7}",0,0.6789,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",46.0,41.0,4.0,2.0,17.0,18.0,25.0,30.0,8.0,,,,,90.0,65.0,7.4,7.0,0.0396452,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0133,1.0,,,,,,,,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",88.0,80.0,13.0,9.0,35.0,38.0,45.0,51.0,9.0,,,,,90.0,99.0,7.9,11.0,0.0247637,"{'original': 7.9, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,4.0,4.0,,3.0,,,,1.0,3.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",113.0,107.0,3.0,2.0,44.0,46.0,63.0,67.0,3.0,,,,,90.0,122.0,8.5,6.0,0.0333332,"{'original': 8.5, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,4.0,,3.0,1.0,1.0,0.0737,,3.0,1.0,,,1.0,1.0,1.0,1.0,0.0672,,,,,,,,,,,
Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,178,6051,M,sergio_regui,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",63.0,53.0,3.0,1.0,15.0,17.0,39.0,54.0,4.0,,,,,79.0,88.0,7.6,18.0,0.108354,"{'original': 7.6, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,1.0,,3.0,6.0,1.0,,3.0,3.0,0.0211,1.0,1.0,,1.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",45.0,38.0,1.0,,15.0,16.0,23.0,29.0,5.0,,,,,90.0,58.0,7.3,8.0,0.0207768,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,7.0,1.0,2.0,2.0,,0.1967,,2.0,,1.0,2.0,1.0,1.0,,,0.3006,,,,1.0,1.0,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",30.0,26.0,4.0,2.0,9.0,10.0,17.0,21.0,1.0,,,,,40.0,35.0,6.6,6.0,0.0140022,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",32.0,28.0,3.0,3.0,9.0,9.0,19.0,27.0,1.0,,,,,90.0,55.0,6.8,16.0,0.0323583,"{'original': 6.8, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,,5.0,4.0,1.0,,,,0.3017,,2.0,,4.0,2.0,,1.0,,1.0,0.1683,1.0,,,4.0,1.0,1.0,1.0,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",62.0,48.0,8.0,5.0,16.0,19.0,36.0,55.0,4.0,,,,,90.0,90.0,6.9,26.0,0.312903,"{'original': 6.9, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,12.0,4.0,,5.0,4.0,2.0,1.0,3.0,2.0,0.3818,2.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",36.0,35.0,,,7.0,7.0,28.0,32.0,2.0,,,,,68.0,57.0,7.1,13.0,0.0452239,"{'original': 7.1, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,,7.0,5.0,1.0,,2.0,1.0,0.0787,3.0,,,2.0,1.0,,,,,,1.0,,,5.0,2.0,3.0,,,,,
