name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,sofascoreId
Teden Mengi,,,teden-mengi,T. Mengi,D,15,793,M,979233,"{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",False,save,set-piece,left-foot,90,5838,438,,19.7,33.6,0,48.2,3.8,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,216692,M,288205,"{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",True,miss,free-kick,right-foot,90,5609,209,,20.1,38.5,0,44.4,76.4,BrunoFernandes
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,22683,M,843200,"{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",True,miss,corner,right-foot,88,5262,2562,,25.6,49.9,0,57.0,81.9,DDalot
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,24760,M,879346,"{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",True,save,corner,head,81,4847,2147,,10.8,55.0,0,46.1,1.9,ScottMcTominay
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,216692,M,288205,"{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",True,block,assisted,right-foot,75,4490,1790,,11.1,47.4,0,46.2,19.0,BrunoFernandes
Ross Barkley,,,ross-barkley,R. Barkley,M,6,2380,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",False,block,free-kick,right-foot,73,4371,1671,,23.5,60.8,0,49.8,19.0,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,351448,M,814590,"{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",True,save,fast-break,right-foot,70,4163,1463,,9.0,37.5,0,50.0,7.0,Rashford
Ross Barkley,,,ross-barkley,R. Barkley,M,6,2380,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",False,miss,assisted,right-foot,66,3956,1256,,26.6,51.3,0,38.7,63.9,
Tahith Chong,,,tahith-chong,T. Chong,M,24,1675,M,825845,"{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",False,block,assisted,left-foot,64,3814,1114,,13.7,53.8,0,54.0,19.0,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,9198,M,143334,"{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",True,goal,corner,right-foot,59,3504,804,regular,9.3,51.6,0,49.4,24.7,victorlindelof
Andros Townsend,,,andros-townsend,A. Townsend,F,30,609,M,47992,"{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",False,block,assisted,left-foot,53,3140,440,,16.2,39.5,0,46.1,19.0,
Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,6051,M,858195,"{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",True,miss,regular,left-foot,51,3055,355,,13.5,31.6,0,63.7,52.8,sergio_regui
Andros Townsend,,,andros-townsend,A. Townsend,F,30,609,M,47992,"{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",False,miss,assisted,right-foot,50,2949,249,,26.4,62.3,0,46.4,81.9,
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,71511,M,1086417,"{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",True,miss,set-piece,head,49,2893,193,,5.3,54.6,0,61.7,5.6,RHøjlund
Andros Townsend,,,andros-townsend,A. Townsend,F,30,609,M,47992,"{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",False,save,assisted,left-foot,36,2152,2152,,21.9,70.9,0,45.4,7.6,
Carlton Morris,,,carlton-morris,C. Morris,F,9,1084,M,358222,"{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",False,save,assisted,head,36,2140,2140,,10.5,54.4,0,45.7,14.6,
