name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,totalContest,wonContest,interceptionWon,fouls,aerialLost,challengeLost,outfielderBlock,totalTackle,aerialWon,firstName,lastName,wonTackle,wasFouled,accurateCross,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,unsuccessfulTouch,totalOffside,expectedGoals,expectedGoalsOnTarget,keyPass,dispossessed,goals,sofascoreId,shotOffTarget,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,goalAssist,blockedScoringAttempt
Mark Flekken,mark-flekken,M. Flekken,G,1,194.0,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",25.0,19.0,13.0,7.0,13.0,14.0,6.0,11.0,1.0,7.0,1.0,3.0,90.0,31.0,6.8,6.0,0.00492965,"{'original': 6.8, 'alternative': 6.5}",0,-0.7949,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189.0,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",28.0,15.0,9.0,2.0,7.0,14.0,8.0,16.0,3.0,3.0,,,90.0,45.0,6.4,18.0,0.014247,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194.0,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",22.0,17.0,2.0,,15.0,18.0,2.0,4.0,3.0,3.0,,,90.0,35.0,6.7,6.0,0.00087517,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180.0,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",18.0,11.0,5.0,1.0,7.0,10.0,4.0,8.0,2.0,1.0,,,71.0,23.0,6.0,8.0,0.002304,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184.0,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",15.0,12.0,,,5.0,7.0,7.0,10.0,1.0,3.0,,,89.0,33.0,7.3,6.0,0.00387243,"{'original': 7.3, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,6.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,Mads,Roerslev,2.0,3.0,,,,,,,,,,,,,,,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180.0,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",22.0,14.0,,,6.0,9.0,9.0,15.0,,2.0,,,68.0,40.0,6.9,14.0,0.103824,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,6.0,7.0,2.0,1.0,1.0,2.0,,3.0,,5.0,1.0,,,3.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.213,0.5291,1.0,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185.0,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",46.0,32.0,11.0,4.0,20.0,22.0,12.0,25.0,,15.0,,,90.0,71.0,7.0,20.0,0.155017,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,10.0,8.0,1.0,1.0,4.0,3.0,1.0,3.0,,6.0,1.0,,,3.0,1.0,,,,,1.0,,,,1.0,3.0,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184.0,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",20.0,15.0,3.0,2.0,8.0,9.0,7.0,14.0,2.0,4.0,,,88.0,28.0,6.6,10.0,0.0106254,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177.0,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",27.0,17.0,5.0,1.0,9.0,12.0,9.0,21.0,,9.0,,,90.0,49.0,6.8,18.0,0.0243011,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,7.0,9.0,1.0,,1.0,1.0,1.0,3.0,1.0,8.0,,,,4.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170.0,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",5.0,5.0,,,,,5.0,5.0,,3.0,,,68.0,15.0,7.4,3.0,0.00958127,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,4.0,,,,2.0,2.0,,,4.0,,,,1.0,,,,,1.0,1.0,1.0,0.1132,0.336,,1.0,1.0,,,,,,,,
