name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAShot,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,challengeLost,totalContest,totalTackle,wonTackle,wonContest,outfielderBlock,interceptionWon,wasFouled,keyPass,dispossessed,fouls,aerialLost,shotOffTarget,totalOffside,expectedGoals,goalAssist,totalCross,accurateCross,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,expectedGoalsOnTarget,goals,bigChanceMissed,errorLeadToAGoal
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",36.0,34.0,4.0,3.0,34.0,35.0,,1.0,,1.0,,14.0,,,,1.0,2.0,,,90.0,48.0,6.4,2.0,0.00013042,"{'original': 6.4, 'alternative': 6.2}",0,0.218,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0
Jack Hinshelwood,Jack Hinshelwood,,jack-hinshelwood,J. Hinshelwood,D,13,182,1551,M,,1142315,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113177600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هينشلوود', 'hi': 'जैक हिन्शेलवुड', 'bn': 'জ্যাক হিনশেলউড'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'hi': 'जे. हिन्शेलवुड', 'bn': 'জে. হিনশেলউড'}}",39.0,32.0,5.0,1.0,18.0,18.0,14.0,23.0,1.0,5.0,,2.0,,,,,,,,75.0,55.0,6.7,10.0,0.016834,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,1.0,4.0,1.0,,,,,1.0,,3.0,1.0,2.0,,0.2305,,2.0,,,,,,,2.0,
Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",129.0,123.0,11.0,8.0,72.0,73.0,51.0,58.0,4.0,6.0,3.0,8.0,,2.0,,,,,,90.0,144.0,7.9,10.0,0.0539024,"{'original': 7.9, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,2.0,2.0,,1.0,3.0,,1.0,,,1.0,,,0.1277,,2.0,,,1.0,,,,,
Lewis Dunk,,,lewis-dunk,L. Dunk,D,5,190,1872,M,,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",122.0,117.0,4.0,2.0,70.0,70.0,47.0,52.0,1.0,2.0,,3.0,,,,,,,,90.0,128.0,6.8,6.0,0.0548871,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,,2.0,1.0,,0.1243,,,,,,,,,1.0,
Igor Júlio,,,igor-julio,I. Júlio,D,5,185,1286,M,,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",104.0,98.0,3.0,1.0,47.0,51.0,51.0,54.0,1.0,4.0,3.0,6.0,,1.0,,,,,,90.0,123.0,7.3,10.0,0.0697892,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,
Carlos Baleba,,,baleba-carlos,C. Baleba,M,17,179,22765,M,carlos_baleba,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",36.0,35.0,1.0,1.0,20.0,21.0,15.0,15.0,,3.0,1.0,6.0,,1.0,,,,,,45.0,46.0,6.7,3.0,0.0145932,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,,,,,1.0,1.0,3.0,1.0,1.0,4.0,,1.0,,0.0808,,,,,,,,,,
Billy Gilmour,,,gilmour-billy,B. Gilmour,M,6,169,4385,M,billygilmour,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",99.0,91.0,4.0,2.0,47.0,48.0,44.0,51.0,1.0,3.0,,7.0,,,,,,,,90.0,110.0,7.0,11.0,0.0390731,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,,,,0.0261,,,,,,1.0,0.2867,,,
Simon Adingra,,,simon-adingra,S. Adingra,M,24,175,45746,M,simon.adingra,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",15.0,12.0,,,5.0,6.0,8.0,11.0,,2.0,,1.0,,2.0,,,,,,45.0,26.0,6.5,9.0,0.0309366,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,3.0,,,1.0,,,1.0,,1.0,,,,,0.0549,,2.0,1.0,,,1.0,0.0455,,,
Pascal Groß,,,pascal-gross,P. Groß,M,13,181,4485,M,pascalgross65,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",64.0,56.0,4.0,2.0,19.0,19.0,40.0,52.0,,5.0,1.0,1.0,,,,,,,,90.0,88.0,8.2,16.0,0.42712,"{'original': 8.2, 'alternative': 8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,2.0,2.0,1.0,,1.0,,,3.0,6.0,1.0,,1.0,1.0,,0.1026,1.0,7.0,3.0,2.0,1.0,1.0,0.1041,,,
Kaoru Mitoma,,,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,KaoruM,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",33.0,30.0,1.0,1.0,8.0,8.0,22.0,25.0,,2.0,,5.0,,4.0,,,,,,83.0,52.0,6.8,11.0,0.13579,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,1.0,2.0,1.0,1.0,1.0,,,,,3.0,,1.0,,,0.0916,,,,,,2.0,0.0677,,,
João Pedro,,,joao-pedro,J. Pedro,F,20,182,86665,M,joaopedro,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",35.0,26.0,1.0,,5.0,7.0,21.0,28.0,3.0,7.0,2.0,2.0,,5.0,,,,,,90.0,59.0,6.7,20.0,0.215895,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,,3.0,3.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,2.0,0.0958,,,,,1.0,,,,,
Facundo Buonanotte,Facundo Buonanotte,,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,facubuonanotte_,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",16.0,11.0,1.0,1.0,2.0,4.0,9.0,12.0,,4.0,,2.0,,,,,,,,45.0,29.0,6.8,10.0,0.00801403,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,6.0,,4.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,0.0723,,,,,1.0,,,,,
Danny Welbeck,,,danny-welbeck,D. Welbeck,F,18,185,4472,M,,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",14.0,11.0,,,,,11.0,14.0,2.0,5.0,,1.0,,2.0,,,,,,45.0,27.0,7.8,9.0,0.054741,"{'original': 7.8, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,6.0,1.0,2.0,3.0,,,,,,2.0,2.0,,1.0,1.0,,0.1868,,,,1.0,1.0,1.0,0.5438,1.0,,
Adam Lallana,,,adam-lallana,A. Lallana,M,10,172,1265,M,,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",14.0,13.0,,,3.0,3.0,10.0,11.0,,,,1.0,,,,,,,,15.0,18.0,6.6,2.0,0.0271118,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Jakub Moder,,,jakub-moder,J. Moder,M,7,191,7259,M,kubamoder,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",3.0,3.0,,,2.0,2.0,1.0,1.0,,2.0,,1.0,,,,,,,,13.0,5.0,6.8,,0.00085242,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
Jason Steele,,,jason-steele,J. Steele,G,23,188,502,M,,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Leigh Kavanagh,,,kavanagh-leigh,L. Kavanagh,D,20,189,47,M,,1005689,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1072483200,"{'value': 165000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كافانا، لي', 'hi': 'कवानाघ, लेह', 'bn': 'কাভানাঘ, লে'}, 'shortNameTranslation': {'ar': 'ل. كافانا', 'hi': 'एल. कवानाघ', 'bn': 'এল. কাভানাঘ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud Dahoud,,,mahmoud-dahoud,M. Dahoud,M,18,177,1888,M,,341589,"{'alpha2': 'SY', 'alpha3': 'SYR', 'name': 'Syria', 'slug': 'syria'}",EUR,820454400,"{'value': 2200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
James Milner,,,james-milner,J. Milner,M,20,175,3314,M,,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Ferguson,,,evan-ferguson,E. Ferguson,F,11,188,8187,M,EvanFerguson9,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
