period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,34.0,66.0,,,34%,66%,2,ballPossession
ALL,Match overview,Expected goals,1.35,1.19,,,1.35,1.19,1,expectedGoals
ALL,Match overview,Big chances,2.0,3.0,,,2,3,2,bigChanceCreated
ALL,Match overview,Total shots,11.0,18.0,,,11,18,2,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,5.0,2.0,,,5,2,1,goalkeeperSaves
ALL,Match overview,Corner kicks,3.0,1.0,,,3,1,1,cornerKicks
ALL,Match overview,Fouls,12.0,11.0,,,12,11,1,fouls
ALL,Match overview,Passes,389.0,759.0,,,389,759,2,passes
ALL,Match overview,Tackles,28.0,20.0,,,28,20,1,totalTackle
ALL,Match overview,Free kicks,11.0,12.0,,,11,12,2,freeKicks
ALL,Match overview,Yellow cards,5.0,2.0,,,5,2,1,yellowCards
ALL,Shots,Total shots,11.0,18.0,,,11,18,2,totalShotsOnGoal
ALL,Shots,Shots on target,3.0,6.0,,,3,6,2,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
ALL,Shots,Shots off target,3.0,7.0,,,3,7,2,shotsOffGoal
ALL,Shots,Blocked shots,5.0,5.0,,,5,5,3,blockedScoringAttempt
ALL,Shots,Shots inside box,10.0,10.0,,,10,10,3,totalShotsInsideBox
ALL,Shots,Shots outside box,1.0,8.0,,,1,8,2,totalShotsOutsideBox
ALL,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
ALL,Attack,Big chances missed,1.0,3.0,,,1,3,2,bigChanceMissed
ALL,Attack,Through balls,1.0,0.0,,,1,0,1,accurateThroughBall
ALL,Attack,Fouled in final third,2.0,2.0,,,2,2,3,fouledFinalThird
ALL,Attack,Offsides,1.0,2.0,,,1,2,2,offsides
ALL,Passes,Accurate passes,305.0,692.0,,,305,692,2,accuratePasses
ALL,Passes,Throw-ins,17.0,11.0,,,17,11,1,throwIns
ALL,Passes,Final third entries,39.0,81.0,,,39,81,2,finalThirdEntries
ALL,Passes,Long balls,22.0,22.0,64.0,39.0,22/64 (34%),22/39 (56%),2,accurateLongBalls
ALL,Passes,Crosses,4.0,4.0,13.0,14.0,4/13 (31%),4/14 (29%),1,accurateCross
ALL,Duels,Duels,53.0,47.0,,,53%,47%,1,duelWonPercent
ALL,Duels,Dispossessed,9.0,12.0,,,9,12,2,dispossessed
ALL,Duels,Ground duels,47.0,38.0,85.0,85.0,47/85 (55%),38/85 (45%),1,groundDuelsPercentage
ALL,Duels,Aerial duels,10.0,13.0,23.0,23.0,10/23 (43%),13/23 (57%),2,aerialDuelsPercentage
ALL,Duels,Dribbles,8.0,6.0,19.0,22.0,8/19 (42%),6/22 (27%),1,dribblesPercentage
ALL,Defending,Tackles won,15.0,11.0,28.0,20.0,54%,55%,2,wonTacklePercent
ALL,Defending,Total tackles,28.0,20.0,,,28,20,1,totalTackle
ALL,Defending,Interceptions,5.0,7.0,,,5,7,2,interceptionWon
ALL,Defending,Recoveries,57.0,60.0,,,57,60,2,ballRecovery
