minute,value
1.0,5
2.0,-50
3.0,-30
4.0,-19
5.0,-47
6.0,-26
7.0,-19
8.0,-19
9.0,-18
10.0,-63
11.0,-31
12.0,-16
13.0,16
14.0,-15
15.0,-46
16.0,-43
17.0,-29
18.0,-16
19.0,-15
20.0,-45
21.0,-27
22.0,-5
23.0,11
24.0,44
25.0,25
26.0,5
27.0,-15
28.0,-31
29.0,-19
30.0,14
31.0,42
32.0,42
33.0,8
34.0,2
35.0,-18
36.0,-5
37.0,-8
38.0,29
39.0,19
40.0,14
41.0,10
42.0,10
43.0,8
44.0,15
45.0,-57
45.5,-43
46.0,1
47.0,-2
48.0,-17
49.0,-12
50.0,-24
51.0,-16
52.0,-15
53.0,-14
54.0,-71
55.0,-61
56.0,-43
57.0,-89
58.0,-71
59.0,-60
60.0,-34
61.0,-50
62.0,-53
63.0,-30
64.0,-17
65.0,-10
66.0,-4
67.0,-1
68.0,-1
69.0,-11
70.0,10
71.0,36
72.0,28
73.0,23
74.0,21
75.0,22
76.0,-11
77.0,-12
78.0,12
79.0,5
80.0,4
81.0,6
82.0,7
83.0,51
84.0,42
85.0,27
86.0,17
87.0,12
88.0,16
89.0,11
90.0,8
90.5,-59
