id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
585572,34,SavedShot,0.904000015258789,0.495,0.10523049533367157,Mateo Retegui,a,11898,OpenPlay,2024,Head,27370,Lecce,Atalanta,0,4,2024-08-19 16:30:00,Davide Zappacosta,Cross
585575,44,Goal,0.935,0.4640000152587891,0.42374908924102783,Mateo Retegui,a,11898,OpenPlay,2024,Head,27370,Lecce,Atalanta,0,4,2024-08-19 16:30:00,Matteo Ruggeri,Cross
585577,56,Goal,0.885,0.5,0.7612988352775574,Mateo Retegui,a,11898,Penalty,2024,RightFoot,27370,Lecce,Atalanta,0,4,2024-08-19 16:30:00,,Standard
586913,19,SavedShot,0.89,0.34,0.2360081672668457,Mateo Retegui,a,11898,OpenPlay,2024,RightFoot,27377,Torino,Atalanta,2,1,2024-08-25 16:30:00,Marco Brescianini,Pass
586914,25,Goal,0.9180000305175782,0.53,0.05593866482377052,Mateo Retegui,a,11898,SetPiece,2024,Head,27377,Torino,Atalanta,2,1,2024-08-25 16:30:00,Davide Zappacosta,Aerial
586930,58,ShotOnPost,0.9590000152587891,0.49400001525878906,0.6155127286911011,Mateo Retegui,a,11898,FromCorner,2024,RightFoot,27377,Torino,Atalanta,2,1,2024-08-25 16:30:00,Berat Gjimshiti,None
586933,60,MissedShots,0.8440000152587891,0.5170000076293946,0.01674612984061241,Mateo Retegui,a,11898,OpenPlay,2024,Head,27377,Torino,Atalanta,2,1,2024-08-25 16:30:00,Charles De Ketelaere,Cross
588924,14,MissedShots,0.965,0.534000015258789,0.6401928663253784,Mateo Retegui,a,11898,OpenPlay,2024,LeftFoot,27383,Inter,Atalanta,4,0,2024-08-30 18:45:00,,Rebound
588926,23,MissedShots,0.855999984741211,0.40700000762939453,0.09047960489988327,Mateo Retegui,a,11898,OpenPlay,2024,RightFoot,27383,Inter,Atalanta,4,0,2024-08-30 18:45:00,Lazar Samardzic,Pass
588937,69,MissedShots,0.9309999847412109,0.7240000152587891,0.047444261610507965,Mateo Retegui,a,11898,OpenPlay,2024,LeftFoot,27383,Inter,Atalanta,4,0,2024-08-30 18:45:00,Berat Gjimshiti,Pass
588944,91,BlockedShot,0.9080000305175782,0.595,0.10355310142040253,Mateo Retegui,a,11898,OpenPlay,2024,LeftFoot,27383,Inter,Atalanta,4,0,2024-08-30 18:45:00,Charles De Ketelaere,Throughball
591381,20,Goal,0.914000015258789,0.5159999847412109,0.2998349964618683,Mateo Retegui,h,11898,OpenPlay,2024,Head,27393,Atalanta,Fiorentina,3,2,2024-09-15 13:00:00,Ademola Lookman,Cross
591386,33,MissedShots,0.9580000305175781,0.5520000076293945,0.39065825939178467,Mateo Retegui,h,11898,OpenPlay,2024,Head,27393,Atalanta,Fiorentina,3,2,2024-09-15 13:00:00,Raoul Bellanova,Aerial
593442,7,SavedShot,0.8590000152587891,0.515,0.08480298519134521,Mateo Retegui,h,11898,OpenPlay,2024,RightFoot,27402,Atalanta,Como,2,3,2024-09-24 18:45:00,Charles De Ketelaere,Dispossessed
594434,74,BlockedShot,0.8640000152587891,0.505,0.07567476481199265,Mateo Retegui,a,11898,OpenPlay,2024,LeftFoot,27412,Bologna,Atalanta,1,1,2024-09-28 18:45:00,Lazar Samardzic,Chipped
594435,85,BlockedShot,0.855999984741211,0.38599998474121094,0.057195719331502914,Mateo Retegui,a,11898,OpenPlay,2024,LeftFoot,27412,Bologna,Atalanta,1,1,2024-09-28 18:45:00,Juan Cuadrado,Chipped
594438,87,MissedShots,0.96,0.3920000076293945,0.015183434821665287,Mateo Retegui,a,11898,FromCorner,2024,Head,27412,Bologna,Atalanta,1,1,2024-09-28 18:45:00,Lazar Samardzic,Aerial
595662,14,BlockedShot,0.7980000305175782,0.3729999923706055,0.03861970454454422,Mateo Retegui,h,11898,OpenPlay,2024,RightFoot,27422,Atalanta,Genoa,5,1,2024-10-05 16:00:00,Ademola Lookman,Foul
595664,23,Goal,0.935,0.545,0.5486342310905457,Mateo Retegui,h,11898,OpenPlay,2024,RightFoot,27422,Atalanta,Genoa,5,1,2024-10-05 16:00:00,Ademola Lookman,Pass
595670,37,MissedShots,0.8980000305175782,0.4159999847412109,0.0717979222536087,Mateo Retegui,h,11898,FromCorner,2024,RightFoot,27422,Atalanta,Genoa,5,1,2024-10-05 16:00:00,Ademola Lookman,Pass
595676,49,Goal,0.955,0.580999984741211,0.4537159502506256,Mateo Retegui,h,11898,OpenPlay,2024,LeftFoot,27422,Atalanta,Genoa,5,1,2024-10-05 16:00:00,,Rebound
595683,66,MissedShots,0.9269999694824219,0.4490000152587891,0.05351752042770386,Mateo Retegui,h,11898,OpenPlay,2024,Head,27422,Atalanta,Genoa,5,1,2024-10-05 16:00:00,Davide Zappacosta,Aerial
