name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialWon,duelLost,duelWon,dispossessed,interceptionWon,totalTackle,wonTackle,aerialLost,shotOffTarget,expectedGoals,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,expectedGoalsOnTarget,keyPass,wasFouled,goals,unsuccessfulTouch,totalCross,totalContest,wonContest,accurateCross,bigChanceCreated,fouls,bigChanceMissed,totalOffside,goodHighClaim,punches,outfielderBlock,lastManTackle
Erling Haaland,erling-haaland,E. Haaland,F,9,194,807088,M,EHaaland,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",16.0,13.0,,,0.0,4.0,4.0,9.0,12.0,,1.0,,,,,90.0,26.0,6.5,6.0,0.0121643,"{'original': 6.5, 'alternative': 6.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,3.0,,,,,1.0,2.0,0.7555,,,2.0,,,2.0,,1.0,,1.0,,,,1.0,1.0,3.0,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",19.0,16.0,4.0,1.0,0.0,13.0,13.0,3.0,6.0,,,,,,,19.0,20.0,6.5,3.0,0.0017465,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,34246,M,Kova8,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",4.0,3.0,1.0,,0.0,2.0,2.0,1.0,2.0,,,,,,,1.0,4.0,,1.0,0.00014348,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Scott Carson,scott-carson,S. Carson,G,,188,5491,M,scottpcarson33,716,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,494553600,,"{'nameTranslation': {'ar': 'سكوت كارسون', 'hi': 'स्कॉट कार्सन', 'bn': 'স্কট কারসন'}, 'shortNameTranslation': {'ar': 'س. كارسون', 'hi': 'एस. कार्सन', 'bn': 'এস. কারসন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,18816,M,matheusnunes,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Rico Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Bobb,oscar-bobb,O. Bobb,M,52,174,17188,M,oscarbobb,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Oscar Bobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Grealish,jack-grealish,J. Grealish,M,18,180,61911,M,JGrealish,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",29.0,16.0,16.0,3.0,0.0,14.0,18.0,2.0,11.0,2.0,10.0,4.0,9.0,,,90.0,49.0,8.0,13.0,0.0001471,"{'original': 8, 'alternative': 8.1}",0,-1.0383,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",27.0,21.0,7.0,2.0,0.0,19.0,21.0,2.0,6.0,2.0,1.0,,,,,90.0,36.0,6.7,6.0,0.00053881,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,5.0,,,2.0,2.0,,1.0,0.0522,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0
Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2242,M,,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",34.0,31.0,4.0,3.0,0.0,27.0,29.0,4.0,5.0,5.0,,,,,,90.0,44.0,6.3,3.0,0.00272714,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,784,M,,43443,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,629683200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون كريسويل', 'hi': 'आरोन क्रेसवेल', 'bn': 'অ্যারন ক্রেসওয়েল'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'hi': 'ए. क्रेसवेल', 'bn': 'এ. ক্রেসওয়েল'}}",39.0,34.0,5.0,2.0,0.0,27.0,28.0,7.0,12.0,1.0,1.0,,,,,90.0,48.0,6.2,7.0,0.00681226,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",25.0,20.0,1.0,,0.0,17.0,20.0,3.0,8.0,1.0,4.0,,,,,90.0,54.0,6.7,14.0,0.00097499,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,9.0,6.0,1.0,1.0,5.0,3.0,2.0,,,4.0,,,,,,,1.0,3.0,1.0,,,,1.0,,,,,3.0,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",28.0,19.0,5.0,1.0,0.0,12.0,16.0,7.0,12.0,4.0,3.0,,,,,90.0,43.0,6.5,11.0,0.00348663,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,4.0,7.0,,,3.0,1.0,1.0,,,,,,,,2.0,,2.0,,1.0,1.0,,,4.0,,,,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,prowsey16,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",29.0,25.0,4.0,2.0,0.0,19.0,21.0,8.0,10.0,2.0,2.0,,,,,90.0,34.0,6.5,4.0,0.0451572,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,2.0,,,2.0,,,,,,,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",19.0,17.0,,,0.0,10.0,12.0,7.0,7.0,1.0,2.0,,,,,71.0,29.0,6.6,3.0,0.00816065,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,4.0,,2.0,2.0,2.0,1.0,,,2.0,,,,,,,,,3.0,2.0,,,,,,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,Kudus,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",23.0,19.0,2.0,1.0,0.0,12.0,13.0,7.0,10.0,,6.0,,,,,90.0,52.0,7.0,18.0,0.00415587,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,15.0,6.0,11.0,,2.0,1.0,1.0,,0.308,1.0,2.0,,0.303,,,1.0,2.0,,5.0,4.0,,,2.0,,,,,,
Michail Antonio,michail-antonio,M. Antonio,F,,180,3351,M,MichailAntonio,47772,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,638582400,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أنطونيو', 'hi': 'माइकल एंटोनियो', 'bn': 'মাইকেল আন্তোনিও'}, 'shortNameTranslation': {'ar': 'م. أنطونيو', 'hi': 'एम. एंटोनियो', 'bn': 'এম. আন্তোনিও'}}",8.0,5.0,,,0.0,5.0,5.0,,3.0,,1.0,,,,,81.0,12.0,6.2,6.0,7.726e-05,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,Paqueta,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",29.0,24.0,3.0,,0.0,14.0,16.0,10.0,13.0,,2.0,,,,,86.0,33.0,6.4,8.0,0.002285,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,1.0,
