name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,unsuccessfulTouch,fouls,sofascoreId,aerialLost,aerialWon,dispossessed,shotOffTarget,totalTackle,expectedGoals,firstName,lastName,challengeLost,wasFouled,accurateCross,wonTackle,errorLeadToAShot,keyPass,blockedScoringAttempt,outfielderBlock,goalAssist,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,hitWoodwork,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",35.0,20.0,23.0,8.0,14.0,15.0,6.0,20.0,4.0,2.0,2.0,90.0,38.0,6.6,15.0,0.00069789,"{'original': 6.6, 'alternative': 6.5}",0,0.3785,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",35.0,26.0,2.0,2.0,15.0,17.0,11.0,19.0,4.0,,,90.0,54.0,6.8,14.0,0.00395853,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",46.0,40.0,5.0,1.0,19.0,22.0,21.0,24.0,2.0,,,90.0,58.0,6.6,7.0,0.00577619,"{'original': 6.6, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,3.0,,,6.0,1.0,,,tosinadarabioyo,2.0,2.0,1.0,1.0,1.0,0.0117,,,,,,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",62.0,59.0,5.0,3.0,32.0,34.0,27.0,28.0,5.0,,,90.0,79.0,7.0,6.0,0.0081478,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",27.0,22.0,4.0,3.0,9.0,11.0,14.0,20.0,3.0,,,90.0,55.0,7.2,13.0,0.0797466,"{'original': 7.2, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,3.0,7.0,2.0,1.0,4.0,3.0,2.0,1.0,,1.0,,,,6.0,,,,,,1.0,3.0,1.0,2.0,,,,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",36.0,30.0,5.0,2.0,14.0,16.0,16.0,20.0,9.0,,,90.0,52.0,7.0,10.0,0.00547436,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,Palhinha,,3.0,,,2.0,0.0206,,,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",50.0,47.0,2.0,2.0,24.0,24.0,24.0,28.0,3.0,,,89.0,65.0,7.4,10.0,0.10102,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,5.0,3.0,1.0,1.0,,2.0,4.0,3.0,,,,1.0,,1.0,0.0564,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,0.218,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",20.0,15.0,2.0,1.0,7.0,9.0,8.0,13.0,4.0,,,79.0,33.0,7.4,9.0,0.00960312,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,3.0,3.0,1.0,,,2.0,,,,1.0,,1.0,,1.0,0.3336,,,,2.0,,1.0,,1.0,,1.0,,,1.0,0.374,1.0,1.0,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",34.0,28.0,1.0,,12.0,16.0,17.0,20.0,7.0,,,72.0,41.0,6.6,8.0,0.0149923,"{'original': 6.6, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,1.0,1.0,,,1.0,,1.0,alexanderiwobi,,1.0,,,,0.0994,,,,,1.0,,,2.0,2.0,,,,,,,,,,,
Willian,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",26.0,23.0,3.0,2.0,9.0,9.0,16.0,22.0,5.0,,,79.0,38.0,6.9,8.0,0.0854729,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,4.0,,1.0,,,2.0,,1.0,willianborges88,,,1.0,1.0,,0.1389,,,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,
