name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,challengeLost,unsuccessfulTouch,clearanceOffLine,totalCross,accurateCross,dispossessed,totalContest,blockedScoringAttempt,wasFouled,expectedGoals,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,wonContest,shotOffTarget,goals,goalAssist,bigChanceCreated,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
André Onana,,,andre-onana,A. Onana,G,24,190.0,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",34.0,23.0,14.0,3.0,20.0,22.0,3.0,12.0,2.0,5.0,1.0,1.0,1.0,2.0,90.0,40.0,6.6,12.0,0.00693789,2.0,"{'original': 6.6, 'alternative': 6.5}",0,-0.3431,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183.0,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",31.0,26.0,2.0,,19.0,19.0,7.0,12.0,,7.0,,,,,90.0,46.0,6.9,7.0,0.00356556,,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191.0,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",48.0,41.0,7.0,3.0,31.0,35.0,10.0,13.0,3.0,4.0,,,,,90.0,61.0,6.9,8.0,0.169671,,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,5.0,1.0,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Jonny Evans,,,jonny-evans,J. Evans,D,,188.0,4632,M,6jevans,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",38.0,35.0,2.0,1.0,29.0,30.0,6.0,8.0,1.0,4.0,,,,,90.0,49.0,7.5,4.0,0.00226816,,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,3.0,3.0,4.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184.0,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",42.0,34.0,11.0,6.0,14.0,19.0,21.0,28.0,7.0,7.0,,,,,90.0,82.0,7.1,19.0,0.0401656,,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,5.0,6.0,,3.0,4.0,4.0,1.0,,,,5.0,1.0,1.0,2.0,1.0,1.0,0.0588,,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180.0,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",41.0,35.0,1.0,,21.0,22.0,14.0,19.0,3.0,2.0,,,,,81.0,50.0,6.7,6.0,0.0155601,,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,3.0,7.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182.0,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",47.0,36.0,4.0,2.0,12.0,14.0,24.0,35.0,1.0,10.0,,,,,89.0,56.0,7.0,15.0,0.208411,1.0,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,1.0,,,1.0,1.0,,2.0,1.0,,2.0,,,,1.0,,0.0613,1.0,1.0,0.0463,,,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180.0,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",22.0,17.0,3.0,2.0,7.0,8.0,10.0,14.0,2.0,5.0,,,,,89.0,39.0,8.4,8.0,0.0376055,1.0,"{'original': 8.4, 'alternative': 8.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,8.0,4.0,,,,,2.0,,1.0,,,,,3.0,1.0,3.0,0.6153,2.0,3.0,0.9061,1.0,1.0,2.0,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179.0,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",47.0,31.0,7.0,3.0,7.0,10.0,25.0,44.0,2.0,5.0,,,,,90.0,75.0,7.6,25.0,0.0988039,4.0,"{'original': 7.6, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,8.0,8.0,,3.0,3.0,3.0,2.0,4.0,,,7.0,1.0,1.0,3.0,,2.0,0.1249,1.0,3.0,0.2977,2.0,1.0,,,,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185.0,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",24.0,20.0,1.0,,5.0,5.0,15.0,21.0,,6.0,,,,,80.0,44.0,7.4,14.0,0.324353,1.0,"{'original': 7.4, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,7.0,3.0,,1.0,3.0,2.0,1.0,2.0,3.0,,2.0,,,3.0,,,0.1757,2.0,1.0,0.1581,,1.0,,1.0,1.0,,,
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191.0,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",12.0,12.0,,,4.0,4.0,8.0,8.0,1.0,6.0,,,,,89.0,22.0,7.3,5.0,0.0432853,1.0,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,6.0,3.0,,,,,1.0,,2.0,,,,,1.0,,2.0,0.0973,1.0,1.0,0.5441,,,1.0,,,,,
Antony,,,antony,Antony,M,7,172.0,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",2.0,1.0,,,,,1.0,2.0,,1.0,,,,,10.0,5.0,6.8,2.0,0.00087462,,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,2.0,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193.0,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",3.0,2.0,,,,,2.0,3.0,4.0,,,,,,9.0,7.0,6.6,1.0,0.00024687,,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192.0,2092,M,,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",1.0,,1.0,,,,,1.0,,,,,,,11.0,2.0,6.5,1.0,,,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Daniel Gore,,,gore-daniel,D. Gore,M,44,170.0,3534,M,,1146145,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096156800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غور، دانيال', 'hi': 'गोर, डैनियल', 'bn': 'গোর, ড্যানিয়েল'}, 'shortNameTranslation': {'ar': 'د. غور', 'hi': 'डी. गोर', 'bn': 'ডি. গোর'}}",,,,,,,,,,,,,,,1.0,3.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
Hannibal Mejbri,,,hannibal-mejbri,H. Mejbri,M,28,182.0,19155,M,hannibal_mj,1009386,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,1043107200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'حنبعل المجبري', 'hi': 'हैनिबल मेजब्री', 'bn': 'হ্যানিবল মেজব্রি'}, 'shortNameTranslation': {'ar': 'ح. المجبري', 'hi': 'एच. मेजब्री', 'bn': 'এইচ. মেজব্রি'}}",1.0,,,,,1.0,,,,1.0,,,,,1.0,7.0,,4.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,3.0,2.0,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198.0,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,178.0,6051,M,sergio_regui,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donny van de Beek,,,donny-van-de-beek,D. v. d. Beek,M,6,183.0,8261,M,donnyvdbeek,361790,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,861321600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوني فان دي بيك', 'hi': 'डोनी वैन डे बीक', 'bn': 'ডনি ভ্যান ডি বেক'}, 'shortNameTranslation': {'ar': 'د. فان دي بيك', 'hi': 'डी.वी.डी. बेक', 'bn': 'ডি. ভি. ডি. বেক'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Pellistri,,,facundo-pellistri,F. Pellistri,M,28,174.0,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,,,emiliano-martinez,E. Martínez,G,23,195.0,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",48.0,45.0,10.0,7.0,43.0,43.0,2.0,5.0,1.0,9.0,1.0,2.0,4.0,,90.0,59.0,7.1,3.0,0.00036062,,"{'original': 7.1, 'alternative': 6.7}",0,-1.0477,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
