name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,unsuccessfulTouch,totalCross,wonTackle,firstName,lastName,shotOffTarget,totalOffside,expectedGoals,accurateCross,challengeLost,totalContest,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,wasFouled,expectedGoalsOnTarget,errorLeadToAShot,sofascoreId,wonContest,goals,fouls,goodHighClaim,clearanceOffLine
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",24.0,18.0,4.0,3.0,,11.0,13.0,7.0,12.0,1.0,,2.0,,,,,,89.0,33.0,7.2,11.0,0.0749508,1.0,"{'original': 7.2, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,8.0,2.0,,,,,2.0,1.0,,,,,,0.282,,2.0,2.0,,1.0,1.0,1.0,0.9409,,,,1.0,1.0,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",3.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,1.0,,,,,,14.0,5.0,6.5,3.0,0.00072438,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",4.0,4.0,1.0,1.0,,3.0,3.0,1.0,2.0,,,,,,,,,14.0,5.0,6.6,1.0,0.00037237,,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",4.0,1.0,2.0,1.0,,1.0,2.0,1.0,4.0,,,,,,,,,13.0,7.0,6.8,4.0,0.0362754,1.0,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,2.0,,,,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",2.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,11.0,4.0,6.6,1.0,0.00178145,,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,180,142,M,892111,"{'alpha2': 'GD', 'alpha3': 'GRD', 'name': 'Grenada', 'slug': 'grenada'}",EUR,891993600,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,2.0,,,3.6e-07,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Fredrick,fredrick-benjamin,B. Fredrick,D,22,187,945,M,1470532,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,1117238400,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريدريك، بنيامين', 'hi': 'फ्रेडरिक, बेंजामिन', 'bn': 'ফ্রেডরিক, বেঞ্জামিন'}, 'shortNameTranslation': {'ar': 'ب. فريدريك', 'hi': 'बी. फ्रेडरिक', 'bn': 'বি. ফ্রেড্রিক'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,Benjamin Fredrick,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Brierley,ethan-brierley,E. Brierley,M,6,173,43,M,998841,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069545600,"{'value': 370000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان برييرلي', 'hi': 'एथन ब्रियरली', 'bn': 'ইথান ব্রিয়ারলি'}, 'shortNameTranslation': {'ar': 'إ. برييرلي', 'hi': 'ई. ब्रियरली', 'bn': 'ই. ব্রিয়ারলি'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
