name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,keyPass,firstName,lastName,totalTackle,wonTackle,unsuccessfulTouch,totalOffside,blockedScoringAttempt,interceptionWon,fouls,onTargetScoringAttempt,goals,goalAssist,bigChanceCreated,shotOffTarget,hitWoodwork,dispossessed,bigChanceMissed,penaltyWon,penaltyConceded,penaltyFaced,errorLeadToAGoal
Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",9.0,9.0,,,3.0,3.0,6.0,6.0,,3.0,4.0,2.0,,,,,,74.0,22.0,6.8,7.0,0.3381,0.0,0.0533583,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,8.0,1.0,,,1.0,,3.0,,,1.0,,2.0,,,,,,,,,1.0,,4.0,1.0,1.0,,,
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",30.0,29.0,2.0,1.0,13.0,13.0,16.0,17.0,,,5.0,,,,,,,27.0,32.0,6.7,1.0,0.0,0.0,0.00688633,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",26.0,23.0,1.0,,21.0,22.0,2.0,4.0,1.0,3.0,3.0,,,,,,,26.0,33.0,6.9,4.0,0.0,0.0,0.00090949,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,1.0,,2.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
Philippe Coutinho,philippe-coutinho,P. Coutinho,M,10,172,71508,M,Coutinho,119159,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,708307200,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب كوتينيو', 'hi': 'फिलिप कूटिन्हो', 'bn': 'ফিলিপে কৌতিনহো'}, 'shortNameTranslation': {'ar': 'ف. كوتينيو', 'hi': 'पी. कूटिन्हो', 'bn': 'পি. কৌতিনহো'}}",15.0,13.0,,,6.0,7.0,7.0,8.0,,4.0,,1.0,,,,,,21.0,23.0,6.9,4.0,0.0671,0.0243,0.00567184,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,1.0,4.0,3.0,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,
Jhon Durán,jhon-duran,J. Durán,F,10,185,30568,M,jaderduran9,974577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1071273600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",9.0,7.0,,,2.0,2.0,5.0,7.0,1.0,3.0,1.0,,,,,,,16.0,14.0,7.7,3.0,0.5452,0.7161,0.00129136,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,
Cameron Archer,cameron-archer,C. Archer,F,19,181,1000,M,,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",6.0,5.0,,,4.0,4.0,1.0,2.0,,,1.0,,,,,,,15.0,7.0,6.5,2.0,0.0,0.0,0.00119773,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
Filip Marschall,filip-marschall,F. Marschall,G,1,196,130,M,,994557,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1051142400,"{'value': 880000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب مارشال', 'hi': 'फ़िलिप मार्शल', 'bn': 'ফিলিপ মার্শাল'}, 'shortNameTranslation': {'ar': 'ف. مارشال', 'hi': 'एफ. मार्शल', 'bn': 'এফ. মার্শাল'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Olsen,robin-olsen,R. Olsen,G,30,198,1336,M,,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,calum-chambers,C. Chambers,D,12,183,615,M,,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Traoré,bertrand-traore,B. Traoré,F,9,180,30594,M,bertrandtraore10,218160,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,810345600,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرتراند تراوري', 'hi': 'बर्ट्रेंड ट्रैओरे', 'bn': 'বার্ট্রান্ড ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
