name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,challengeLost,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,fouls,totalOffside,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,aerialWon,aerialLost,unsuccessfulTouch,dispossessed,totalContest,wonContest,wasFouled,shotOffTarget,bigChanceMissed,accurateCross,blockedScoringAttempt,bigChanceCreated,goalAssist,hitWoodwork,outfielderBlock,ownGoals
Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,20,188,706,M,,983066,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1024790400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",38.0,35.0,4.0,2.0,27.0,28.0,8.0,10.0,5.0,5.0,,,,,,,90.0,47.0,6.5,3.0,0.00142608,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,murillosantiago40,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",56.0,44.0,10.0,3.0,31.0,34.0,13.0,22.0,9.0,3.0,,,,,,,90.0,73.0,6.4,15.0,0.0083493,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,,,,1.0,1.0,1.0,1.0,,0.056,,,Murillo,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0
Ola Aina,ola-aina,O. Aina,D,34,182,4048,M,,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",33.0,26.0,3.0,1.0,13.0,14.0,13.0,21.0,,4.0,,,,,,,90.0,55.0,6.7,14.0,0.0640539,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,6.0,1.0,,,1.0,2.0,1.0,,,,,2.0,,,1.0,,,,2.0,2.0,2.0,,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",34.0,30.0,3.0,2.0,17.0,19.0,13.0,15.0,1.0,4.0,,,,,,,81.0,45.0,6.6,6.0,0.00705193,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,7.0,2.0,1.0,1.0,,,2.0,2.0,5.0,,0.1452,0.2096,,,,,1.0,2.0,,,,,,,,,,,,,
Danilo,danilo,Danilo,M,35,177,4572,M,Danilo,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",21.0,19.0,1.0,,12.0,13.0,7.0,8.0,1.0,6.0,,,,,,,81.0,38.0,6.7,5.0,0.00569293,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,,,,3.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,anthonyelanga,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",36.0,33.0,,,11.0,11.0,22.0,27.0,,1.0,,,,,,,90.0,54.0,7.3,11.0,0.138026,"{'original': 7.3, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,5.0,6.0,,1.0,,,,,,,0.082,0.0282,3.0,,,,1.0,2.0,,8.0,4.0,2.0,,,,,1.0,1.0,1.0,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,Morgangibbs27,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",25.0,18.0,2.0,1.0,5.0,8.0,15.0,23.0,,2.0,,,,,,,68.0,40.0,6.8,12.0,0.0217318,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,5.0,5.0,,,,,,,1.0,1.0,0.0414,,2.0,,,2.0,3.0,,,2.0,1.0,2.0,1.0,,2.0,,,,,1.0,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,Calteck10,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",26.0,22.0,1.0,1.0,10.0,13.0,12.0,14.0,1.0,7.0,,,,,,,90.0,44.0,6.9,9.0,0.0216645,"{'original': 6.9, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,5.0,,1.0,,1.0,,,,,0.1296,0.0356,,,,,,,2.0,6.0,4.0,1.0,2.0,,,,,,,,
Chris Wood,chris-wood,C. Wood,F,11,191,7744,M,wodsy39,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",13.0,10.0,1.0,1.0,5.0,6.0,5.0,7.0,,3.0,,,,,,,68.0,21.0,6.5,6.0,0.00180167,"{'original': 6.5, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,,,2.0,1.0,,,,1.0,1.0,1.1056,0.9784,,,,,6.0,3.0,,,,,1.0,2.0,,,,,1.0,,
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",15.0,15.0,,,5.0,5.0,10.0,10.0,,1.0,,,,,,,22.0,19.0,7.0,,0.005023,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,1.0,,1.0,,,,,0.0632,0.1515,,,,,,,,,,1.0,,,,,,,,1.0,
Divock Origi,divock-origi,D. Origi,F,27,189,3656,M,divockorigi,190399,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,798163200,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",3.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,22.0,7.0,6.7,2.0,0.00046053,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,,,,,,,,0.0195,,,,,1.0,,,,,,1.0,1.0,,,,,,,,
Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,ibrahim_sangare,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",8.0,8.0,,,4.0,4.0,4.0,4.0,,1.0,,,,,,,9.0,8.0,6.6,,0.00362223,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,185,5145,M,gioareyna,989056,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,1037145600,"{'value': 7500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني رينا', 'hi': 'जियोवानी रेयना', 'bn': 'জিওভানি রেইনা'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'hi': 'जी. रेयना', 'bn': 'জি রেইনা'}}",7.0,7.0,,,1.0,1.0,6.0,6.0,,,,,,,,,9.0,14.0,6.6,2.0,0.00500334,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,4.0,1.0,,,,2.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,gonzalo_montiel29,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",5.0,5.0,,,4.0,4.0,1.0,1.0,,1.0,,,,,,,10.0,7.0,6.5,,0.00059448,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,niakhate,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Ribeiro,ribeiro-rodrigo,R. Ribeiro,F,28,185,1437,M,,1215904,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1114646400,"{'value': 2400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريبييرو، رودريغو', 'hi': 'रिबेरो, रोड्रिगो', 'bn': 'রিবেইরো, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. ريبييرو', 'hi': 'आर. रिबेरो', 'bn': 'আর. রিবেইরো'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
