name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,blockedScoringAttempt,interceptionWon,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,expectedGoals,keyPass,firstName,lastName,aerialLost,onTargetScoringAttempt,expectedGoalsOnTarget,fouls,outfielderBlock,totalOffside,bigChanceMissed,errorLeadToAShot
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",37.0,36.0,3.0,2.0,34.0,34.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,90.0,44.0,7.2,1.0,0.00049432,"{'original': 7.2, 'alternative': 7.3}",0,0.0964,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",88.0,69.0,19.0,12.0,22.0,24.0,52.0,78.0,2.0,8.0,,,,,90.0,131.0,9.1,35.0,0.419524,"{'original': 9.1, 'alternative': 9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,14.0,5.0,1.0,2.0,8.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.2325,6.0,,,,,,,,,,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",106.0,94.0,8.0,4.0,34.0,39.0,60.0,67.0,,7.0,,,,,90.0,116.0,7.9,12.0,0.0297985,"{'original': 7.9, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,5.0,,,,,,3.0,,,,2.0,2.0,,1.0,0.2539,1.0,,,2.0,1.0,0.1135,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",84.0,71.0,9.0,4.0,44.0,46.0,27.0,38.0,2.0,6.0,,,,,90.0,98.0,7.9,14.0,0.129685,"{'original': 7.9, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,2.0,6.0,,,,,,,1.0,2.0,,3.0,1.0,,,0.078,1.0,,,,2.0,0.0915,2.0,,,,
Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,TK21,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",31.0,25.0,4.0,,8.0,11.0,22.0,30.0,,6.0,,,,,90.0,67.0,7.7,16.0,0.208088,"{'original': 7.7, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,5.0,,7.0,4.0,1.0,1.0,2.0,,,,,2.0,,3.0,3.0,2.0,1.0,,3.0,,,2.0,,,1.0,1.0,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",40.0,31.0,4.0,2.0,16.0,17.0,15.0,28.0,,1.0,,,,,61.0,55.0,7.0,15.0,0.0250766,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,,1.0,3.0,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,,0.0243,,,,1.0,,,,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",62.0,55.0,1.0,,26.0,28.0,29.0,35.0,,6.0,,,,,90.0,80.0,7.2,9.0,0.0720102,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,8.0,9.0,,,2.0,1.0,,,1.0,1.0,,4.0,2.0,,3.0,0.0422,,,,3.0,,,4.0,,,,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",23.0,20.0,,,4.0,4.0,16.0,19.0,,6.0,,,,,61.0,36.0,7.1,7.0,0.0254208,"{'original': 7.1, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,5.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.4416,2.0,,,1.0,,,2.0,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",54.0,37.0,1.0,,3.0,4.0,34.0,51.0,,4.0,,,,,90.0,76.0,7.9,26.0,0.329425,"{'original': 7.9, 'alternative': 7.6}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,6.0,2.0,,2.0,2.0,1.0,,,2.0,,,1.0,,4.0,,0.3865,5.0,,,2.0,4.0,1.1861,1.0,,1.0,,
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",10.0,8.0,1.0,1.0,,,8.0,12.0,,2.0,,,,,78.0,22.0,7.0,6.0,0.349975,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,4.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,0.2383,4.0,,,2.0,,,1.0,,3.0,,
