name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,blockedScoringAttempt,outfielderBlock,fouls,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,penaltyWon,goals,penaltyConceded,penaltyFaced,punches,totalOffside
Yoane Wissa,,,yoane-wissa,Y. Wissa,F,9,176,43905,M,yowissa,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",22.0,13.0,,,4.0,6.0,10.0,18.0,6.0,13.0,5.0,2.0,,,,,,,90.0,43.0,7.3,13.0,0.2986,0.5378,0.0566998,"{'original': 7.3, 'alternative': 7.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,3.0,7.0,,2.0,4.0,4.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,1.0
Mads Roerslev,Mads,Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",20.0,15.0,2.0,,5.0,7.0,11.0,15.0,,3.0,,,,,,,,,48.0,35.0,6.9,7.0,0.0,0.0,0.0327105,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,1.0,2.0,2.0,,,1.0,1.0,,3.0,1.0,2.0,1.0,,2.0,,,,,,,,,,,,
Frank Onyeka,,,frank-onyeka,F. Onyeka,M,15,183,3717,M,,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",18.0,15.0,2.0,,5.0,5.0,10.0,13.0,,6.0,2.0,2.0,,,,,,,18.0,27.0,6.9,3.0,0.0,0.0,0.00392462,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,1.0,1.0,,,,3.0,2.0,,,,,,,,,,,,,,
Kevin Schade,,,kevin-schade,K. Schade,M,7,183,2784,M,,1006387,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,1006819200,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفين شايد', 'hi': 'केविन शैड', 'bn': 'কেভিন শেড'}, 'shortNameTranslation': {'ar': 'ك. شايد', 'hi': 'के. शैड', 'bn': 'কে. স্কেড'}}",4.0,2.0,,,,,2.0,5.0,,,,,,,,,,,18.0,8.0,6.4,6.0,0.0,0.0,0.00250526,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
Neal Maupay,,,neal-maupay,N. Maupay,F,9,171,2064,M,,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,18.0,3.0,6.6,,0.0149,0.0,0.00858671,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",4.0,2.0,,,1.0,2.0,2.0,3.0,,1.0,,,,,,,,,8.0,7.0,6.7,2.0,0.0184,0.0,0.164383,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
Thomas Strakosha,,,thomas-strakosha,T. Strakosha,G,1,191,1699,M,,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,,,zanka,Zanka,D,5,189,495,M,,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,,,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
