match_id,home_team,home_team_id,away_team,away_team_id,wins_home,wins_away,overtimes,total_non_overtime,home_win_rate,home_team_avg_rating,home_team_std_rating,home_team_avg_ADR,home_team_std_ADR,home_team_avg_Swing,home_team_std_Swing,away_team_avg_rating,away_team_std_rating,away_team_avg_ADR,away_team_std_ADR,away_team_avg_Swing,away_team_std_Swing,source_url,event_id
2375428,Eternal Fire,11251,Natus Vincere,4608,1,8,2,9,0.1111,1.036,0.072,70.74,8.03,0.45,1.35,0.996,0.0852,69.14,7.57,-0.49,1.17,https://www.hltv.org/matches/2375428/eternal-fire-vs-natus-vincere-esl-pro-league-season-20,7441
2375427,Natus Vincere,4608,G2,5995,13,4,4,17,0.7647,1.124,0.245,72.28,9.89,1.29,3.4,0.922,0.1348,65.76,9.15,-1.29,2.12,https://www.hltv.org/matches/2375427/natus-vincere-vs-g2-esl-pro-league-season-20,7441
2375426,MIBR,9215,Eternal Fire,11251,1,6,2,7,0.1429,0.832,0.1612,61.9,8.12,-1.88,2.9,1.13,0.1862,73.4,10.85,1.75,2.5,https://www.hltv.org/matches/2375426/mibr-vs-eternal-fire-esl-pro-league-season-20,7441
2375425,G2,5995,Liquid,5973,5,3,0,8,0.625,1.176,0.2728,75.06,18.41,2.03,2.52,0.902,0.1007,65.14,5.95,-2.06,1.17,https://www.hltv.org/matches/2375425/g2-vs-liquid-esl-pro-league-season-20,7441
2375424,Natus Vincere,4608,Spirit,7020,3,9,1,12,0.25,1.226,0.3372,78.3,21.33,2.28,3.9,0.878,0.2056,62.9,12.46,-2.27,2.97,https://www.hltv.org/matches/2375424/natus-vincere-vs-spirit-esl-pro-league-season-20,7441
2375423,Vitality,9565,Eternal Fire,11251,0,1,0,1,0.0,1.062,0.2482,74.7,13.57,0.13,3.48,1.06,0.2065,71.44,12.11,-0.13,2.96,https://www.hltv.org/matches/2375423/vitality-vs-eternal-fire-esl-pro-league-season-20,7441
2375422,M80,12376,MIBR,9215,0,0,0,0,,0.904,0.0975,61.18,4.77,-0.89,2.15,1.132,0.2724,81.02,12.39,0.89,3.68,https://www.hltv.org/matches/2375422/m80-vs-mibr-esl-pro-league-season-20,7441
2375421,Liquid,5973,Complexity,5005,4,2,0,6,0.6667,1.334,0.3265,80.72,18.48,4.08,3.79,0.792,0.125,64.04,7.82,-4.15,1.03,https://www.hltv.org/matches/2375421/liquid-vs-complexity-esl-pro-league-season-20,7441
2375420,Imperial,9455,Spirit,7020,0,1,0,1,0.0,0.826,0.1363,62.7,10.44,-2.43,2.18,1.292,0.1102,83.14,11.11,2.34,1.85,https://www.hltv.org/matches/2375420/imperial-vs-spirit-esl-pro-league-season-20,7441
2375418,Eternal Fire,11251,The MongolZ,6248,2,4,1,6,0.3333,1.05,0.2637,71.9,11.94,0.46,3.33,0.986,0.1037,71.7,6.95,-0.45,1.72,https://www.hltv.org/matches/2375418/eternal-fire-vs-the-mongolz-esl-pro-league-season-20,7441
2375419,MIBR,9215,HEROIC,7175,4,5,1,9,0.4444,1.108,0.2085,75.1,12.7,0.71,2.92,0.994,0.1962,69.8,12.52,-0.88,2.3,https://www.hltv.org/matches/2375419/mibr-vs-heroic-esl-pro-league-season-20,7441
2375417,FaZe,6667,Complexity,5005,10,3,1,13,0.7692,0.976,0.2479,67.96,12.87,-1.09,3.41,1.11,0.1126,72.3,5.48,0.93,1.14,https://www.hltv.org/matches/2375417/faze-vs-complexity-esl-pro-league-season-20,7441
2375416,Spirit,7020,FURIA,8297,6,0,1,6,1.0,1.104,0.19,68.62,10.6,1.34,2.4,0.946,0.2143,64.5,8.79,-1.34,3.15,https://www.hltv.org/matches/2375416/spirit-vs-furia-esl-pro-league-season-20,7441
2375415,BIG,7532,The MongolZ,6248,0,0,0,0,,1.0,0.1615,72.94,6.35,-0.44,1.6,1.08,0.1711,76.72,8.7,0.4,2.56,https://www.hltv.org/matches/2375415/big-vs-the-mongolz-esl-pro-league-season-20,7441
2375414,Virtus.pro,5378,HEROIC,7175,4,0,0,4,1.0,0.916,0.2908,67.34,13.62,-2.39,3.42,1.194,0.2378,78.86,15.38,2.28,2.49,https://www.hltv.org/matches/2375414/virtuspro-vs-heroic-esl-pro-league-season-20,7441
2375413,Liquid,5973,Vitality,9565,0,0,0,0,,0.944,0.1054,69.72,5.22,-1.16,2.14,1.116,0.0653,74.88,14.54,1.02,0.52,https://www.hltv.org/matches/2375413/liquid-vs-vitality-esl-pro-league-season-20,7441
2375412,RED Canids,7176,FURIA,8297,1,2,0,3,0.3333,0.894,0.1288,63.82,11.53,-1.68,2.32,1.214,0.2077,80.64,14.85,1.68,2.12,https://www.hltv.org/matches/2375412/red-canids-vs-furia-esl-pro-league-season-20,7441
2375411,MOUZ,4494,Complexity,5005,12,6,1,18,0.6667,0.906,0.184,67.34,13.19,-1.35,1.86,1.12,0.134,75.56,17.89,1.34,1.83,https://www.hltv.org/matches/2375411/mouz-vs-complexity-esl-pro-league-season-20,7441
2375408,Complexity,5005,Astralis,6665,2,0,2,2,1.0,1.068,0.1298,72.02,8.51,0.32,2.21,1.054,0.2313,78.34,10.2,-0.38,3.13,https://www.hltv.org/matches/2375408/complexity-vs-astralis-esl-pro-league-season-20,7441
2375409,ATOX,12312,FURIA,8297,0,0,0,0,,0.794,0.1649,62.54,11.05,-2.96,3.35,1.342,0.2551,81.12,14.6,2.96,3.4,https://www.hltv.org/matches/2375409/atox-vs-furia-esl-pro-league-season-20,7441
2375407,Falcons,11283,RED Canids,7176,0,0,0,0,,0.914,0.2096,65.14,13.27,-1.17,2.98,1.088,0.1949,70.16,12.1,1.12,2.49,https://www.hltv.org/matches/2375407/falcons-vs-red-canids-esl-pro-league-season-20,7441
2375406,fnatic,4991,MOUZ,4494,0,0,0,0,,0.774,0.1706,58.5,12.73,-3.25,1.72,1.31,0.2878,87.12,20.93,3.25,3.84,https://www.hltv.org/matches/2375406/fnatic-vs-mouz-esl-pro-league-season-20,7441
2375405,FURIA,8297,Virtus.pro,5378,3,2,1,5,0.6,0.98,0.1876,63.76,12.69,-0.79,2.53,1.034,0.0801,69.74,2.78,0.7,1.3,https://www.hltv.org/matches/2375405/furia-vs-virtuspro-esl-pro-league-season-20,7441
