name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,shotOffTarget,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,fouls,errorLeadToAShot,keyPass,firstName,lastName,unsuccessfulTouch,sofascoreId,goalAssist,accurateCross,totalContest,bigChanceCreated,blockedScoringAttempt,dispossessed,outfielderBlock,totalOffside,wonContest,goals,goodHighClaim,punches,bigChanceMissed
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",27.0,19.0,17.0,9.0,11.0,12.0,8.0,15.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,90.0,37.0,6.8,10.0,0.0,0.0,0.00157293,"{'original': 6.8, 'alternative': 6.6}",0,0.5261,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",30.0,27.0,4.0,2.0,22.0,24.0,5.0,7.0,1.0,3.0,4.0,3.0,,,,,,69.0,51.0,6.9,7.0,0.3793,0.8784,0.0009667,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
Joe Worrall,joe-worrall,J. Worrall,D,4,193,313,M,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",46.0,43.0,6.0,4.0,33.0,33.0,10.0,13.0,6.0,8.0,5.0,3.0,,,,,,90.0,60.0,7.4,4.0,0.1178,0.0,0.305427,"{'original': 7.4, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,3.0,3.0,,2.0,,,2.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,
Scott McKenna,scott-mckenna,S. McKenna,D,26,188,950,M,358108,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,847756800,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت ماكنيا', 'hi': 'स्कॉट मैककेना', 'bn': 'স্কট ম্যাককেনা'}, 'shortNameTranslation': {'ar': 'س. ماكنيا', 'hi': 'एस. मैककेना', 'bn': 'এস. ম্যাককেনা'}}",49.0,36.0,8.0,2.0,19.0,23.0,17.0,26.0,8.0,10.0,6.0,10.0,,,,,,90.0,71.0,6.9,22.0,0.1858,0.0,0.00558712,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,3.0,,1.0,,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,
Serge Aurier,serge-aurier,S. Aurier,D,93,176,3021,M,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",65.0,52.0,3.0,1.0,13.0,15.0,41.0,56.0,5.0,8.0,5.0,5.0,2.0,,,,,90.0,91.0,8.2,19.0,0.0105,0.0,0.238151,"{'original': 8.2, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,3.0,,1.0,,,1.0,1.0,,,2.0,,,,Serge_aurier,2.0,2.0,2.0,1.0,,,,,,,,,
Danilo,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",49.0,44.0,5.0,3.0,26.0,28.0,18.0,21.0,1.0,1.0,1.0,7.0,,,,,,89.0,58.0,6.8,7.0,0.1234,0.0,0.0726333,"{'original': 6.8, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,1.0,,2.0,,,,,2.0,,,,Danilo,,,2.0,,1.0,,,,,,,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",24.0,19.0,2.0,1.0,11.0,11.0,8.0,13.0,,4.0,,,,,,,,69.0,35.0,6.7,6.0,0.0,0.0,0.00243198,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,,,2.0,4.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",29.0,20.0,4.0,1.0,9.0,12.0,12.0,18.0,2.0,6.0,1.0,6.0,,,,,,90.0,63.0,6.4,20.0,0.0206,0.0,0.0696784,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,12.0,4.0,,,4.0,4.0,2.0,,,1.0,,,1.0,,,1.0,5.0,,1.0,2.0,1.0,,,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",34.0,24.0,1.0,,10.0,13.0,14.0,23.0,1.0,5.0,,2.0,3.0,,,,,89.0,47.0,6.7,16.0,0.0509,0.0,0.0126039,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,2.0,1.0,,,,1.0,,,,,,,2.0,brenjohnson_,,,1.0,,2.0,,,1.0,,,,,
Taiwo Awoniyi,taiwo-awoniyi,T. Awoniyi,F,9,183,3500,M,359664,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,871344000,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",12.0,10.0,,,,,10.0,12.0,3.0,6.0,,1.0,1.0,,,,,84.0,26.0,7.4,10.0,0.2858,0.7678,0.0199449,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,7.0,10.0,,,1.0,,,,,,2.0,,,5.0,,,,3.0,,,2.0,,2.0,2.0,1.0,,,
