name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,aerialLost,duelWon,totalTackle,wonTackle,wasFouled,keyPass,aerialWon,interceptionWon,sofascoreId,totalContest,wonContest,dispossessed,bigChanceCreated,fouls,accurateCross,shotOffTarget,unsuccessfulTouch,onTargetScoringAttempt,totalOffside,goals,outfielderBlock,goodHighClaim,blockedScoringAttempt,bigChanceMissed,hitWoodwork
Michail Antonio,michail-antonio,M. Antonio,F,,180,3351,M,47772,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,638582400,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أنطونيو', 'hi': 'माइकल एंटोनियो', 'bn': 'মাইকেল আন্তোনিও'}, 'shortNameTranslation': {'ar': 'م. أنطونيو', 'hi': 'एम. एंटोनियो', 'bn': 'এম. আন্তোনিও'}}",14.0,10.0,,,5.0,5.0,5.0,9.0,6.0,,,1.0,,,,75.0,23.0,6.7,6.0,0.0,0.0,0.00296274,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,8.0,,,4.0,,3.0,,MichailAntonio,1.0,1.0,,,3.0,,,2.0,,1.0,,,,,,
Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,12009,M,354808,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,808012800,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سعيد بن رحمة', 'hi': 'सईद बनराहमा', 'bn': 'সাঈদ, বেনরাহমা'}, 'shortNameTranslation': {'ar': 'س. بن رحمة', 'hi': 'एस. बनराहमा', 'bn': 'এস. বেনরাহমা'}}",7.0,5.0,,,,,5.0,7.0,,,,,,,,15.0,7.0,6.6,2.0,0.0,0.0,0.0134888,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,said_benrahma11,,,,,,,,,,,,,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",10.0,9.0,,,5.0,5.0,4.0,5.0,1.0,,,3.0,,,,14.0,15.0,7.5,3.0,0.0469,0.1964,0.00474563,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,1.0,,,Kudus,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,
Joseph Anang,joseph-anang,J. Anang,G,94,183,858,M,970370,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947289600,"{'value': 270000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيف أنانغ', 'hi': 'जोसेफ अनंग', 'bn': 'জোসেফ আনাং'}, 'shortNameTranslation': {'ar': 'ج. أنانغ', 'hi': 'जे. अनंग', 'bn': 'জে. আনাং'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo Ogbonna,angelo-ogbonna,A. Ogbonna,D,,191,382,M,21164,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,580348800,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنجيلو أوغبونا', 'hi': 'एंजेलो ओगबोना', 'bn': 'অ্যাঞ্জেলো ওগবোন্না'}, 'shortNameTranslation': {'ar': 'أ. أوغبونا', 'hi': 'ए. ओगबोना', 'bn': 'এ. ওগবোন্না'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186,1859,M,281277,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,843264000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ثيلو كيرير', 'hi': 'थिलो केहरर', 'bn': 'থিলো কেহরের'}, 'shortNameTranslation': {'ar': 'ث. كيرير', 'hi': 'टी. केहरर', 'bn': 'টি. কেহরের'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Fornals,pablo-fornals,P. Fornals,M,8,178,2506,M,816763,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,824947200,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورناليس، بابلو', 'hi': 'फ़ोर्नल्स, पाब्लो', 'bn': 'ফরনালস, পাবলো'}, 'shortNameTranslation': {'ar': 'ب. فورناليس', 'hi': 'पी. फ़ोर्नल्स', 'bn': 'পি. ফরনালস'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divin Mubama,mubama-divin,D. Mubama,F,9,183,2637,M,1167025,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1098662400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موباما، ديفين', 'hi': 'मुबामा, दिविन', 'bn': 'মুবামা, ডিভাইন'}, 'shortNameTranslation': {'ar': 'م. موباما', 'hi': 'डी. मुबामा', 'bn': 'ডি. মুবামা'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ings,danny-ings,D. Ings,F,9,178,1782,M,130181,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,711849600,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني إنغز', 'hi': 'डैनी इंग्स', 'bn': 'ড্যানি ইঙ্গস'}, 'shortNameTranslation': {'ar': 'د. إنغز', 'hi': 'डी. इंग्स', 'bn': 'ডি. ইংস'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwel Cornet,maxwel-cornet,M. Cornet,F,70,179,1997,M,280439,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,843782400,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسويل كورنيه', 'hi': 'मैक्सवेल कॉर्नेट', 'bn': 'ম্যাক্সওয়েল কর্নেট'}, 'shortNameTranslation': {'ar': 'م. كورنيه', 'hi': 'एम. कॉर्नेट', 'bn': 'এম. কর্নেট'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
