event_category,event_action_type,player_id,player_name,team,is_home,outcome,keypass,start_x,start_y,end_x,end_y
passes,pass,958167,Drissa Camara,away,False,True,False,77.6,82.4,78.1,88.5
passes,pass,958167,Drissa Camara,away,False,True,False,71.7,87.0,77.2,16.3
passes,pass,958167,Drissa Camara,away,False,True,False,72.3,86.8,76.5,80.2
passes,pass,958167,Drissa Camara,away,False,True,False,72.5,55.9,69.2,56.7
ball-carries,ball-carry,958167,Drissa Camara,away,False,,False,68.2,42.7,65.7,49.5
ball-carries,ball-carry,958167,Drissa Camara,away,False,,False,78.8,87.3,86.3,87.3
ball-carries,ball-carry,958167,Drissa Camara,away,False,,False,77.8,87.6,77.3,75.5
ball-carries,ball-carry,958167,Drissa Camara,away,False,,False,61.8,92.8,71.3,84.7
passes,pass,1431516,Trivante Stewart,away,False,True,False,83.1,20.6,76.0,17.9
passes,pass,1431516,Trivante Stewart,away,False,True,False,68.9,61.7,67.4,70.9
dribbles,dribble,1431516,Trivante Stewart,away,False,,False,77.5,75.7,,
defensive,clearance,1431516,Trivante Stewart,away,False,True,False,12.5,65.9,11.8,62.4
ball-carries,ball-carry,1431516,Trivante Stewart,away,False,,False,76.5,80.2,77.5,75.7
ball-carries,ball-carry,1431516,Trivante Stewart,away,False,,False,69.2,56.7,68.9,61.7
