date,event_id,player1_name,player2_name,player1_rank,player2_rank,surface,tournament,player1_odds,player2_odds,h2h_matches,h2h_p1_wins,h2h_last_winner,player1_pred_prob,player2_pred_prob,player1_fair_odds,player2_fair_odds,predicted_winner,confidence,player1_value,player2_value,best_value,kelly_p1,kelly_p2,bet_recommendation,bet_stake_percent,bet_placed_on,actual_winner,result,profit,bet_settled
2025-09-30,14792373,Adam Walton,Mattia Bellucci,77,64,Hard,"Shanghai, China",2.0,1.8,1,0,0.0,0.2615395466746212,0.7384604533253787,3.8235135478157343,1.354168656556863,Mattia Bellucci,0.7384604533253787,-47.69209066507575,32.92288159856817,32.92288159856817,0.0,0.4115360199821021,STRONG_BET_P2,5.0,Mattia Bellucci,Mattia Bellucci,WON,4.0,True
2025-09-30,14792379,David Goffin,Alexandre Muller,87,38,Hard,"Shanghai, China",2.0,1.8,1,0,0.0,0.2798985103555488,0.7201014896444511,3.572723551582044,1.3886931417038844,Alexandre Muller,0.7201014896444511,-44.02029792889023,29.61826813600121,29.61826813600121,0.0,0.370228351700015,STRONG_BET_P2,5.0,Alexandre Muller,David Goffin,LOST,-5.0,True
2025-09-30,14792377,Jaume Munar,Marton Fucsovics,40,58,Hard,"Shanghai, China",2.1,1.73,2,0,0.0,0.2678110011883448,0.7321889988116552,3.733976556462388,1.365767584084168,Marton Fucsovics,0.7321889988116552,-43.75968975044759,26.668696794416352,26.668696794416352,0.0,0.3653246136221419,STRONG_BET_P2,5.0,Marton Fucsovics,Jaume Munar,LOST,-5.0,True
2025-09-30,14792375,Sebastian Ofner,Luca Nardi,137,85,Hard,"Shanghai, China",2.2,1.67,2,2,1.0,0.716423281640877,0.283576718359123,1.3958228684439544,3.526382581004393,Sebastian Ofner,0.716423281640877,57.61312196099296,-52.64268803402646,57.61312196099296,0.4801093496749412,0.0,STRONG_BET_P1,5.0,Sebastian Ofner,Luca Nardi,LOST,-5.0,True
2025-09-30,14791585,Adrian Mannarino,Matteo Berrettini,60,56,Hard,"Shanghai, China",2.1,1.73,1,1,1.0,0.795299256203517,0.2047007437964829,1.257388325463365,4.88518009975683,Adrian Mannarino,0.795299256203517,67.01284380273857,-64.58677132320845,67.01284380273857,0.6092076709339871,0.0,STRONG_BET_P1,5.0,Adrian Mannarino,Adrian Mannarino,WON,5.5,True
2025-09-30,14802836,Marin Čilić,Nikoloz Basilashvili,97,104,Hard,"Shanghai, China",1.91,1.91,1,1,1.0,0.6822647957290906,0.3177352042709094,1.4657065794100763,3.147274795358759,Marin Čilić,0.6822647957290906,30.31257598425632,-39.3125759842563,30.31257598425632,0.3331052305962232,0.0,STRONG_BET_P1,5.0,Marin Čilić,Marin Čilić,WON,4.55,True
2025-09-30,14802840,Jordan Thompson,August Holmgren,78,176,Hard,"Shanghai, China",1.36,3.2,1,0,0.0,0.3195671387071725,0.6804328612928274,3.129232886853004,1.469652712098579,August Holmgren,0.6804328612928274,-56.53886913582453,117.7385156137048,117.7385156137048,0.0,0.5351750709713854,STRONG_BET_P2,5.0,August Holmgren,Jordan Thompson,LOST,-5.0,True
2025-09-30,14802837,Tristan Schoolkate,Daniel Altmaier,100,50,Hard,"Shanghai, China",1.91,1.91,1,1,1.0,0.7244048992401786,0.2755951007598214,1.380443452341212,3.628511527392828,Tristan Schoolkate,0.7244048992401786,38.36133575487411,-47.361335754874105,38.36133575487411,0.4215531401634518,0.0,STRONG_BET_P1,5.0,Tristan Schoolkate,Daniel Altmaier,LOST,-5.0,True
2025-09-30,14802841,Laslo Djere,Valentin Vacherot,83,202,Hard,"Shanghai, China",2.3,1.62,0,0,0.5,0.3930689862426589,0.6069310137573412,2.544082680139653,1.647633713441793,Valentin Vacherot,0.6069310137573412,-9.594133164188465,-1.6771757713107287,-1.6771757713107287,0.0,0.0,NO_BET,0.0,,Valentin Vacherot,,0.0,True
2025-09-30,14802839,Yoshihito Nishioka,Alexander Shevchenko,157,88,Hard,"Shanghai, China",1.73,2.1,0,0,0.5,0.5603913289494917,0.4396086710505082,1.7844672969415811,2.274750399282061,Yoshihito Nishioka,0.5603913289494917,-3.052300091737937,-7.6821790793932605,-3.052300091737937,0.0,0.0,NO_BET,0.0,,Yoshihito Nishioka,,0.0,True
2025-09-30,14712230,Jannik Sinner,Learner Tien,2,52,Hard,"Beijing, China",1.03,15.0,0,0,0.5,0.9542184721892316,0.0457815278107684,1.047978035581027,21.84287086558927,Jannik Sinner,0.9542184721892316,-1.7154973645091498,-31.32770828384726,-1.7154973645091498,0.0,0.0,NO_BET,0.0,,Jannik Sinner,,0.0,True
2025-09-30,14796025,Anastasia Potapova,Linda Noskova,59,27,Hard,"Beijing, China",2.5,1.53,2,1,0.0,0.4157307917494646,0.5842692082505354,2.4054027746942506,1.711539793435766,Linda Noskova,0.5842692082505354,3.932697937366171,-10.60681113766808,3.932697937366171,0.0262179862491077,0.0,WEAK_BET_P1,2.0,Anastasia Potapova,Linda Noskova,LOST,-2.0,True
2025-09-30,14792918,Mirra Andreeva,Sonay Kartal,5,81,Hard,"Beijing, China",1.22,4.333333333333334,0,0,0.5,0.8340584347653249,0.165941565234675,1.1989567616822498,6.0262177145659495,Mirra Andreeva,0.8340584347653249,1.7551290413696377,-28.09198839830746,1.7551290413696377,0.079778592789529,0.0,NO_BET,0.0,,Sonay Kartal,,0.0,True
2025-10-01,14792378,Sebastian Korda,Zizou Bergs,74,45,Hard,"Shanghai, China",1.44,2.75,0,0,0.5,0.7129511964783872,0.2870488035216127,1.402620550943019,3.4837281595730705,Sebastian Korda,0.7129511964783872,2.6649722928877515,-21.061579031556484,2.6649722928877515,0.0605675521110854,0.0,WEAK_BET_P1,2.0,Sebastian Korda,Zizou Bergs,LOST,-2.0,True
2025-10-01,14802838,Lorenzo Sonego,Yannick Hanfmann,44,159,Hard,"Shanghai, China",1.62,2.3,5,4,1.0,0.7112297296820346,0.2887702703179654,1.4060154662644155,3.4629603625709056,Lorenzo Sonego,0.7112297296820346,15.2192162084896,-33.58283782686796,15.2192162084896,0.2454712291691872,0.0,STRONG_BET_P1,5.0,Lorenzo Sonego,Yannick Hanfmann,LOST,-5.0,True
2025-10-01,14792374,Zhizhen Zhang,Sebastián Báez,370,41,Hard,"Shanghai, China",1.67,2.2,1,1,1.0,0.6656914014927411,0.3343085985072589,1.5021975614490557,2.991248219355288,Zhizhen Zhang,0.6656914014927411,11.170464049287764,-26.45210832840304,11.170464049287764,0.1667233440192203,0.0,STRONG_BET_P1,5.0,Zhizhen Zhang,Sebastián Báez,LOST,-5.0,True
2025-10-01,14792376,Fábián Marozsán,Stan Wawrinka,57,129,Hard,"Shanghai, China",1.4,3.0,0,0,0.5,0.6759154976956903,0.3240845023043097,1.4794748802315798,3.085614995131786,Fábián Marozsán,0.6759154976956903,-5.37183032260337,-2.774649308707075,-2.774649308707075,0.0,0.0,NO_BET,0.0,,Fábián Marozsán,,0.0,True
2025-10-01,14792919,Iga Swiatek,Emma Navarro,2,17,Hard,"Beijing, China",1.08,8.0,2,2,1.0,0.9625049910888585,0.0374950089111416,1.038955651407817,26.67021635785902,Iga Swiatek,0.9625049910888585,3.950539037596707,-70.00399287108667,3.950539037596707,0.493817379699588,0.0,WEAK_BET_P1,2.0,Iga Swiatek,Emma Navarro,LOST,-2.0,True
2025-10-01,14793807,Marta Kostyuk,Jessica Pegula,28,7,Hard,"Beijing, China",2.38,1.5699999999999998,4,1,0.0,0.2840856586590835,0.7159143413409165,3.520065056152828,1.3968151526717394,Jessica Pegula,0.7159143413409165,-32.38761323913812,12.398551590523876,12.398551590523876,0.0,0.2175184489565593,STRONG_BET_P2,5.0,Jessica Pegula,,,0.0,False
2025-10-01,14791584,Botic Van de Zandschulp,Nuno Borges,84,51,Hard,"Shanghai, China",1.8,2.0,0,0,0.5,0.5790091252940782,0.4209908747059218,1.7270884970804232,2.375348398462409,Botic Van de Zandschulp,0.5790091252940782,4.22164255293408,-15.801825058815648,4.22164255293408,0.0527705319116759,0.0,WEAK_BET_P1,2.0,Botic Van de Zandschulp,,,0.0,False
2025-10-01,14792383,Camilo Ugo Carabelli,Terence Atmane,43,68,Hard,"Shanghai, China",4.5,1.2,0,0,0.5,0.1873627005470277,0.8126372994529723,5.337241601879034,1.230561285672158,Terence Atmane,0.8126372994529723,-15.686784753837529,-2.4835240656433286,-2.4835240656433286,0.0,0.0,NO_BET,0.0,,,,0.0,False
2025-10-01,14803481,Francisco Comesaña,Ugo Blanchet,59,149,Hard,"Shanghai, China",1.8,2.0,3,2,1.0,0.5277077381412889,0.4722922618587111,1.8949883197131727,2.117333017620254,Francisco Comesaña,0.5277077381412889,-5.012607134567996,-5.54154762825778,-5.012607134567996,0.0,0.0,NO_BET,0.0,,,,0.0,False
2025-10-01,14803480,Jenson Brooksby,James Trotter,86,212,Hard,"Shanghai, China",1.28,3.75,0,0,0.5,0.7586288250770956,0.2413711749229043,1.3181676821973842,4.142996777968235,Jenson Brooksby,0.7586288250770956,-2.895510390131756,-9.485809403910862,-2.895510390131756,0.0,0.0,NO_BET,0.0,,,,0.0,False
2025-10-01,14803485,Yibing Wu,Dalibor Svrcina,158,91,Hard,"Shanghai, China",1.62,2.3,1,1,1.0,0.7651462245429844,0.2348537754570155,1.3069397298500582,4.257968593666599,Yibing Wu,0.7651462245429844,23.95368837596348,-45.98363164488642,23.95368837596348,0.38634981251554,0.0,STRONG_BET_P1,5.0,Yibing Wu,,,0.0,False
2025-10-01,14792387,Arthur Cazaux,Pedro Martinez,80,70,Hard,"Shanghai, China",1.25,4.0,1,1,1.0,0.8644620407507676,0.1355379592492324,1.156788792173593,7.37800691067778,Arthur Cazaux,0.8644620407507676,8.057755093845943,-45.78481630030704,8.057755093845943,0.322310203753838,0.0,STRONG_BET_P1,5.0,Arthur Cazaux,,,0.0,False
2025-10-01,14792381,Damir Džumhur,Christopher O'Connell,66,103,Hard,"Shanghai, China",2.3,1.62,0,0,0.5,0.4049491899636878,0.5950508100363121,2.4694456114103374,1.6805287601221424,Christopher O'Connell,0.5950508100363121,-6.861686308351802,-3.601768774117437,-3.601768774117437,0.0,0.0,NO_BET,0.0,,,,0.0,False
2025-10-01,14792385,Kamil Majchrzak,Ethan Quinn,65,81,Hard,"Shanghai, China",2.3,1.62,1,1,1.0,0.7229937427547252,0.2770062572452748,1.383137834899975,3.6100267551521457,Kamil Majchrzak,0.7229937427547252,66.28856083358676,-55.12498632626548,66.28856083358676,0.509912006412206,0.0,STRONG_BET_P1,5.0,Kamil Majchrzak,,,0.0,False
2025-10-01,14791582,Reilly Opelka,Benjamin Bonzi,61,47,Hard,"Shanghai, China",1.73,2.1,1,1,1.0,0.7430929163238758,0.2569070836761242,1.3457267295011486,3.892457871113717,Reilly Opelka,0.7430929163238758,28.555074524030506,-46.04951242801391,28.555074524030506,0.3911654044387739,0.0,STRONG_BET_P1,5.0,Reilly Opelka,,,0.0,False
2025-10-01,14792380,Yi Zhou,Jesper De Jong,305,79,Hard,"Shanghai, China",2.75,1.44,0,0,0.5,0.366077534261527,0.633922465738473,2.7316617558006078,1.5774799822484185,Jesper De Jong,0.633922465738473,0.6713219219199421,-8.715164933659896,0.6713219219199421,0.0038361252681138,0.0,NO_BET,0.0,,,,0.0,False
