name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialLost,totalClearance,wasFouled,aerialWon,bigChanceCreated,shotOffTarget,blockedScoringAttempt,lastManTackle,expectedGoals,errorLeadToAGoal,challengeLost,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,totalOffside,hitWoodwork,outfielderBlock,errorLeadToAShot,punches,totalKeeperSweeper,accurateKeeperSweeper
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180.0,71135,M,GabiMartinelli,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",29.0,27.0,1.0,1.0,4.0,4.0,23.0,26.0,2.0,,,,78.0,38.0,7.0,7.0,0.0463058,"{'original': 7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,4.0,1.0,1.0,1.0,,,,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,,0.1305,,,,,,,,1.0,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175.0,6808,M,EN9,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",7.0,6.0,,,5.0,5.0,1.0,2.0,,,,,23.0,11.0,6.2,3.0,0.00076182,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,4.0,,1.0,,,,,,1.0,,,3.0,,,,,1.0,,,0.5243,,,,,,1.0,,1.0,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193.0,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",5.0,4.0,,,,,4.0,5.0,1.0,,,,12.0,7.0,6.5,2.0,0.00240747,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186.0,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",3.0,2.0,1.0,,,,2.0,3.0,1.0,,,,11.0,4.0,6.1,1.0,0.00042701,"{'original': 6.1, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189.0,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",1.0,,1.0,,,1.0,,,,,,,1.0,2.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180.0,32651,M,jorginhofrello,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191.0,8776,M,ARamsdale,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Elneny,mohamed-elneny,M. Elneny,M,17,180.0,18954,M,elnennym,159675,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,710812800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد النني', 'hi': 'मोहम्मद एल्नेनी', 'bn': 'মোহাম্মদ এলনেনি'}, 'shortNameTranslation': {'ar': 'م. النني', 'hi': 'एम. एल्नेनी', 'bn': 'এম. এলনেনি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reiss Nelson,reiss-nelson,R. Nelson,M,11,175.0,4985,M,reissnelson,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Soares,cedric-soares,C. Soares,M,6,172.0,2753,M,,44760,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,683596800,"{'value': 740000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيدريك سواريس', 'hi': 'सेड्रिक सोरेस', 'bn': 'সেড্রিক সোয়ারেস'}, 'shortNameTranslation': {'ar': 'س. سواريس', 'hi': 'सी. सोरेस', 'bn': 'সি. সোয়ারেস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Sá,jose-sa,J. Sá,G,1,192.0,3995,M,,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",6.0,4.0,4.0,2.0,4.0,5.0,,1.0,1.0,1.0,1.0,1.0,23.0,8.0,6.2,2.0,4.24e-05,"{'original': 6.2, 'alternative': 6}",0,-0.9644,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192.0,1235,M,,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",54.0,43.0,8.0,3.0,32.0,36.0,11.0,18.0,2.0,,,,90.0,60.0,6.4,11.0,0.00675494,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,1.0,5.0,,1.0,1.0,,,,,,,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,1.0,1.0,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188.0,423,M,,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",61.0,55.0,4.0,2.0,46.0,48.0,9.0,13.0,1.0,,,,90.0,70.0,6.5,6.0,0.00270518,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,3.0,3.0,,,,2.0,1.0,1.0,,1.0,,1.0,3.0,,2.0,,,,,,,1.0,,,,,,,1.0,1.0,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1089,M,,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",69.0,53.0,7.0,1.0,32.0,42.0,21.0,27.0,6.0,,,,90.0,82.0,6.6,18.0,0.00606708,"{'original': 6.6, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,2.0,6.0,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,3.0,,2.0,,1.0,,,0.1814,,,,,,1.0,,,1.0,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7468,M,nelsonsemedo50,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",37.0,26.0,5.0,,16.0,22.0,10.0,16.0,4.0,,,,90.0,57.0,7.0,15.0,0.00637171,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,,1.0,7.0,,,,,5.0,4.0,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1017,M,,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",38.0,32.0,,,13.0,15.0,19.0,23.0,5.0,,,,90.0,49.0,6.7,7.0,0.0172226,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,3.0,3.0,,2.0,1.0,1.0,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
Tommy Doyle,tommy-doyle,T. Doyle,M,7,172.0,809,M,,932628,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1003276800,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومي دويل', 'hi': 'टॉमी डॉयल', 'bn': 'টমি ডয়েল'}, 'shortNameTranslation': {'ar': 'ت. دويل', 'hi': 'टी. डॉयल', 'bn': 'টি. ডয়েল'}}",59.0,50.0,8.0,5.0,26.0,29.0,25.0,31.0,5.0,,,,89.0,70.0,7.1,13.0,0.385553,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,
